rawmat_id,name_raw,detail,unit,carbon_per_kg,type_raw
59,"Electricity, grid mix (ไฟฟ้า)","ไฟฟ้าแบบ grid mix ปี 2016-2018",kWh,0.5986,Electrical
60,น้ำประปา-การประปานครหลวง,ผลิตโดยใช้น้ำผิวดิน,m3,0.7948,"Tap and industrial water"
61,น้ำประปา-การประปาส่วนภูมิภาค,"ผลิตโดยใช้น้ำผิวดิน น้ำใต้ดิน และน้ำทะเล",m3,0.541,"Tap and industrial water"
62,"น้ำประปา-การนิคมอุตสาหกรรม ","ผลิตโดยใช้น้ำผิวดิน และน้ำประปา",m3,0.2575,"Tap and industrial water"
63,น้ำอ่อนสำหรับหม้อไอน้ำ,ผลิตโดยใช้น้ำประปา,m3,1.0301,"Tap and industrial water"
64,"น้ำผลิตโดยเทคโนโลยี Reverse Osmosis",ผลิตโดยใช้น้ำอ่อน,m3,2.1555,"Tap and industrial water"
65,"น้ำผลิตโดยเทคโนโลยี Ion Exchange",ผลิตโดยใช้น้ำประปา,m3,2.0432,"Tap and industrial water"
66,"ยางก้อนถ้วย (DRC 55%)","DRC 55%; ได้จากการเติมกรดซัลฟูริก ลงในน้ำยางสด",kg,0.0863,"Natural rubber industry"
67,"น้ำยางข้น (DRC 60%)","DRC 60%; ใช้เทคโนโลยีการผลิตโดยการปั่นแยก",kg,0.2059,"Natural rubber industry"
68,ยางสกิม,"DRC 90%; ผลิตภัณฑ์ยางสกิมคละประเภทและคุณภาพ",kg,0.3903,"Natural rubber industry"
69,"ยางแท่ง STR 10/20","ผลิตจากกระบวนการสับบดย่อย ล้างทำความสะอาด อบแห้ง อัดแท่ง",kg,0.2966,"Natural rubber industry"
70,"ยางแท่ง STR XL/5L/5CV",ผลิตภจากน้ำยางสดและผ่านกระบวนการจับตัวด้วยกรดตัดย่อยและอบแห้ง,kg,0.2071,"Natural rubber industry"
71,กล้ายางชาถุง,"ครอบคลุมตั้งแต่การดูแลต้นพันธุ์ยาง การเพาะกล้ายางในแปลง และการติดตายางและชาถุง",kg,0.347,"Natural rubber industry"
72,"Synthetic rubber","Synthetic rubber, at plant ",kg,3.5138,"Natural rubber industry"
73,"Styrene butadiene rubber (SBR) ",-,kg,0.9732,"Natural rubber industry"
74,ไม้ยางพาราสด,"การปลูกไม้ยางพาราตลอดช่วงอายุ 25 ปี",kg,0.0363,"Rubber wood industry"
75,ไม้ยางพาราท่อนสด,การตัดโค่นต้นยางพาราที่ผ่านการกรีดน้ำยางจนไม่สามารถให้ผลผลิตน้ำยางได้อีก,kg,0.0471,"Rubber wood industry"
76,กิ่งไม้ยางพารา,การตัดโค่นต้นยางพาราที่ผ่านการกรีดน้ำยางจนไม่สามารถให้ผลผลิตน้ำยางได้อีก,kg,0.0471,"Rubber wood industry"
